id,winners,losers
NA1_5361728250,"Illaoi_Top,Volibear_Jungle,Ryze_Mid,Samira_ADC,Pyke_Support","Darius_Top,Qiyana_Jungle,Kassadin_Mid,MissFortune_ADC,Alistar_Support"
NA1_5363662380,"Riven_Top,Qiyana_Jungle,Vladimir_Mid,Twitch_ADC,Braum_Support","Malphite_Top,Belveth_Jungle,Syndra_Mid,Aphelios_ADC,Lulu_Support"
NA1_5378467449,"DrMundo_Top,Khazix_Jungle,Sylas_Mid,Caitlyn_ADC,Braum_Support","Nasus_Top,Diana_Jungle,Ahri_Mid,Jinx_ADC,Soraka_Support"
NA1_5363930516,"Ornn_Top,MonkeyKing_Jungle,Ryze_Mid,Lucian_ADC,Thresh_Support","DrMundo_Top,Shaco_Jungle,Anivia_Mid,MissFortune_ADC,Nami_Support"
NA1_5359384788,"Kennen_Top,Aatrox_Jungle,Qiyana_Mid,Lucian_ADC,Swain_Support","Ornn_Top,Zyra_Jungle,Akshan_Mid,Sivir_ADC,Yuumi_Support"
NA1_5378698885,"Irelia_Top,RekSai_Jungle,Veigar_Mid,Syndra_ADC,Nami_Support","Illaoi_Top,Morgana_Jungle,Viktor_Mid,Vayne_ADC,Alistar_Support"
NA1_5297799446,"Warwick_Top,Ekko_Jungle,Talon_Mid,Senna_ADC,Nautilus_Support","KSante_Top,Viego_Jungle,Ryze_Mid,Jinx_ADC,Milio_Support"
NA1_5371783170,"Gragas_Top,Briar_Jungle,Talon_Mid,Caitlyn_ADC,Lux_Support","Sett_Top,Viego_Jungle,Yone_Mid,KogMaw_ADC,Pantheon_Support"
NA1_5346849963,"Vladimir_Top,JarvanIV_Jungle,Ekko_Mid,Aphelios_ADC,Thresh_Support","Aatrox_Top,Gwen_Jungle,Fizz_Mid,Twitch_ADC,Braum_Support"
NA1_5376669361,"Yasuo_Top,Diana_Jungle,Mel_Mid,MasterYi_ADC,Lulu_Support","Malphite_Top,Kayn_Jungle,Morgana_Mid,Kaisa_ADC,Blitzcrank_Support"
NA1_5378441170,"Urgot_Top,Diana_Jungle,Yone_Mid,Kaisa_ADC,Janna_Support","Ornn_Top,Sylas_Jungle,Akshan_Mid,Swain_ADC,Nami_Support"
NA1_5371722880,"Darius_Top,Talon_Jungle,Leblanc_Mid,Ziggs_ADC,Veigar_Support","Shen_Top,Morgana_Jungle,Aurora_Mid,Ashe_ADC,Milio_Support"
NA1_5357247692,"Katarina_Top,Nasus_Jungle,Sona_Mid,Ziggs_ADC,Karma_Support","Corki_Top,Senna_Jungle,MonkeyKing_Mid,Viktor_ADC,TwistedFate_Support"
NA1_5375235105,"Singed_Top,Volibear_Jungle,Ryze_Mid,Tristana_ADC,Karma_Support","Ambessa_Top,Nunu_Jungle,Yasuo_Mid,Caitlyn_ADC,Malphite_Support"
NA1_5349371173,"Sion_Top,Belveth_Jungle,Yasuo_Mid,Corki_ADC,Nami_Support","Mordekaiser_Top,Karthus_Jungle,Talon_Mid,Yunara_ADC,Janna_Support"
NA1_5361418518,"Anivia_Top,Talon_Jungle,Shen_Mid,Lucian_ADC,Elise_Support","Garen_Top,Naafiri_Jungle,Leblanc_Mid,Jinx_ADC,Thresh_Support"
NA1_5378007809,"KSante_Top,XinZhao_Jungle,Galio_Mid,Kaisa_ADC,Nautilus_Support","Aatrox_Top,Diana_Jungle,Taliyah_Mid,Yasuo_ADC,Rell_Support"
NA1_5373991609,"Illaoi_Top,Jax_Jungle,Zoe_Mid,Jhin_ADC,Milio_Support","Gnar_Top,Zac_Jungle,Lux_Mid,Caitlyn_ADC,Xerath_Support"
NA1_5377850542,"Shen_Top,Rengar_Jungle,Syndra_Mid,Yunara_ADC,Neeko_Support","Fiora_Top,Elise_Jungle,Akshan_Mid,Kaisa_ADC,Pyke_Support"
NA1_5379122594,"Aurora_Top,Kayn_Jungle,Vex_Mid,Jhin_ADC,Galio_Support","Gangplank_Top,Rengar_Jungle,Naafiri_Mid,MissFortune_ADC,Janna_Support"
NA1_5359920295,"Sion_Top,JarvanIV_Jungle,Aurora_Mid,Kaisa_ADC,Taric_Support","Akali_Top,Kayn_Jungle,Twitch_Mid,Yunara_ADC,Thresh_Support"
