id,winners,losers
NA1_5370977333,"Olaf,Vayne,Nunu,MasterYi,Jhin,LeeSin,TahmKench,Kayle","Fizz,Malphite,Bard,Velkoz,Zilean,Tristana,Zed,RekSai"
NA1_5349371173,"Sion,Belveth,Yasuo,Corki,Nami","Mordekaiser,Karthus,Talon,Yunara,Janna"
NA1_5368852100,"Rengar,Garen,Yorick,Mordekaiser,Ambessa,Neeko,Nami,Olaf","Renata,Shyvana,Nautilus,Viego,MasterYi,Garen,Blitzcrank,MissFortune"
NA1_5377733777,"Galio,MissFortune,Kassadin,Galio,Senna,Sylas,Samira,Smolder","Sejuani,Twitch,Shaco,Singed,Blitzcrank,Nocturne,Taric,Maokai"
NA1_5361418518,"Anivia,Talon,Shen,Lucian,Elise","Garen,Naafiri,Leblanc,Jinx,Thresh"
NA1_5378007809,"KSante,XinZhao,Galio,Kaisa,Nautilus","Aatrox,Diana,Taliyah,Yasuo,Rell"
NA1_5377860464,"Singed,Twitch,Tryndamere,Rakan,Lillia,Sona,Jinx,Xayah","Kaisa,Garen,Trundle,TwistedFate,Camille,Singed,TwistedFate,Ashe"
NA1_5373991609,"Illaoi,Jax,Zoe,Jhin,Milio","Gnar,Zac,Lux,Caitlyn,Xerath"
NA1_5377850542,"Shen,Rengar,Syndra,Yunara,Neeko","Fiora,Elise,Akshan,Kaisa,Pyke"
NA1_5379122594,"Aurora,Kayn,Vex,Jhin,Galio","Gangplank,Rengar,Naafiri,MissFortune,Janna"
NA1_5359920295,"Sion,JarvanIV,Aurora,Kaisa,Taric","Akali,Kayn,Twitch,Yunara,Thresh"
NA1_5371780279,"Vi,Ryze,Katarina,Jayce,Rengar","Elise,Lulu,Ezreal,Shyvana,Samira"
NA1_5377579688,"Morgana,Karthus,Diana,TahmKench,Vi","Naafiri,Syndra,Renekton,Aurora,Leona"
NA1_5379450378,"Akali,Amumu,Malzahar,Kaisa,Nautilus","Fiora,JarvanIV,Zed,Twitch,Lulu"
NA1_5372166267,"Garen,JarvanIV,Fizz,Xayah,Leona","Darius,Qiyana,Rumble,Zeri,Sona"
NA1_5373579202,"Tryndamere,Kennen,Mel,Hwei,Chogath","Quinn,Taliyah,Swain,DrMundo,Caitlyn"
NA1_5371806307,"Vayne,Zed,Zoe,TahmKench,Karma","Olaf,Singed,Hwei,Smolder,Milio"
NA1_5379387605,"Sejuani,JarvanIV,Taliyah,Kaisa,Nautilus","KSante,Qiyana,Sylas,Ezreal,Yuumi"
NA1_5318412289,"Ornn,Belveth,Veigar,Seraphine,Janna","Camille,Gwen,Malphite,Senna,Kennen"
NA1_5364935385,"Rumble,Belveth,Sion,Aphelios,Nautilus","Chogath,JarvanIV,Yasuo,Lucian,Nami"
NA1_5371726541,"Vi,Sivir,Velkoz,Jhin,Renekton","Syndra,Annie,Azir,Ashe,Karma"
NA1_5361907228,"Aurora,Pantheon,Shen,Jinx,Braum","Mordekaiser,Talon,Syndra,Samira,Janna"
NA1_5364949906,"Shen,Morgana,AurelionSol,Samira,Thresh","Ambessa,Sylas,Ryze,Jinx,Janna"
NA1_5379200005,"Blitzcrank,LeeSin,Vi,Shen,LeeSin,XinZhao,Warwick,Sion","Zyra,Vladimir,MasterYi,Vladimir,Ryze,LeeSin,MasterYi,Diana"
NA1_5366611310,"Poppy,Ekko,Lucian,Ziggs,Nami","Cassiopeia,Ambessa,Leblanc,Smolder,Milio"
NA1_5353568202,"Kled,Kayn,Viktor,Draven,Seraphine","Ambessa,MasterYi,Ziggs,Samira,Mel"
NA1_5372962276,"Udyr,Zed,Mel,Yunara,Senna","Yone,JarvanIV,Aurora,Samira,Singed"
NA1_5371456234,"Ahri,Veigar,Lucian,Senna,Sett","Aphelios,FiddleSticks,MonkeyKing,Milio,Ivern"
NA1_5377457676,"Xerath,Yasuo,Milio,Khazix,Sylas,Gangplank,Kassadin,Elise","Ekko,Nautilus,Draven,MonkeyKing,Zyra,Teemo,Shyvana,Smolder"
NA1_5343162357,"KogMaw,Nunu,Orianna,Ashe,Warwick","Viego,MasterYi,Chogath,Zilean,Vayne"
NA1_5374139315,"Renekton,Briar,Ahri,Jhin,Taric","Kaisa,Volibear,Zoe,Twitch,Nautilus"
NA1_5375689391,"Vladimir,Diana,Yone,Draven,Nautilus","Renekton,Kayn,Sylas,Ashe,Zyra"
NA1_5379886937,"Ezreal,Smolder,LeeSin,Taric,MissFortune","Yunara,Caitlyn,Lulu,Brand,Malphite"
NA1_5379183562,"Warwick,XinZhao,Zoe,Lucian,Yuumi","Pantheon,Nidalee,Yasuo,Kaisa,Lulu"
NA1_5355060141,"Fiora,Nasus,XinZhao,Jhin,Malphite","Xerath,Tryndamere,Kayn,Sejuani,Teemo"
NA1_5377921801,"TahmKench,Karma,MasterYi,Yone,Gangplank","Renekton,Neeko,Kayn,Nami,Kaisa"
NA1_5380067673,"Garen,Khazix,Zed,Smolder,Zilean","Yasuo,JarvanIV,Vladimir,KogMaw,Seraphine"
NA1_5365359377,"Ambessa,RekSai,Ryze,Samira,Lissandra","Riven,Rengar,Orianna,Kaisa,Kennen"
NA1_5379957460,"Shaco,Jax,Taliyah,Leona,MissFortune","Ryze,Jayce,Nunu,Veigar,Darius"
NA1_5378929766,"Ornn,Belveth,Xerath,Sivir,Karma","KSante,LeeSin,Taliyah,Varus,Alistar"
NA1_5355847511,"Irelia,Rengar,Lissandra,MissFortune,Zilean","Garen,Graves,Ryze,Aphelios,Janna"
NA1_5370335493,"Malphite,LeeSin,AurelionSol,Sivir,Shaco","MonkeyKing,Zed,Smolder,Twitch,Nami"
NA1_5354774343,"Camille,Lillia,Tryndamere,Jhin,Milio","Trundle,Nidalee,Viktor,Ashe,Morgana"
NA1_5368199930,"Gangplank,Maokai,Blitzcrank,Illaoi,Swain,Zyra,Hecarim,Soraka","Qiyana,Corki,Nilah,Kayn,Viego,Janna,Teemo,Malzahar"
NA1_5380107949,"Ambessa,Sylas,Aurora,Draven,Rell","Renekton,XinZhao,Ahri,Sivir,Rakan"
NA1_5380204243,"Mordekaiser,Zed,Sylas,Jinx,Rell","Aatrox,Kayn,Hwei,Vayne,Lulu"
NA1_5357573149,"KSante,Pantheon,TwistedFate,KogMaw,Thresh","Jax,XinZhao,Syndra,Smolder,Lulu"
NA1_5373607763,"Sion,Nidalee,Ahri,MissFortune,Alistar","Urgot,MasterYi,Annie,Xayah,Rakan"
NA1_5373427716,"Syndra,Maokai,Vi,Renata,Tristana","Veigar,Viego,Ezreal,Vayne,Shen"
NA1_5371519125,"Singed,Zyra,Tristana,Samira,Lulu","Aatrox,Kayn,Pantheon,Smolder,Janna"
NA1_5377315298,"Sylas,Blitzcrank,Tristana,Taliyah,Seraphine","MasterYi,Pantheon,Ambessa,Ashe,Smolder"
NA1_5359932046,"Sett,Talon,Fizz,Xerath,Nidalee","Irelia,LeeSin,Aurora,MissFortune,Rell"
NA1_5379198460,"AurelionSol,FiddleSticks,Sion,Jhin,Pyke","Yone,JarvanIV,Viktor,Kaisa,Lux"
NA1_5366690618,"Singed,Graves,Sylas,Smolder,Thresh","Darius,Taliyah,Zed,Ezreal,Alistar"
NA1_5377834797,"MonkeyKing,Kayle,Vladimir,Jayce,Taliyah","Kayn,Lulu,Blitzcrank,Xayah,Neeko"
NA1_5354630562,"Quinn,Udyr,Qiyana,Zeri,Janna","Urgot,LeeSin,Zed,Jinx,Thresh"
NA1_5374146936,"Rumble,Sejuani,Akali,Xayah,Bard","Jayce,Elise,Diana,Jinx,Soraka"
NA1_5336397235,"Mordekaiser,Viego,Hwei,Yunara,Alistar","Malphite,Evelynn,Yasuo,Tristana,Yuumi"
NA1_5360683152,"Kayle,Amumu,Akali,Nilah,Pyke","Irelia,Ivern,Akshan,Ezreal,Rakan"
NA1_5362650046,"Warwick,Hecarim,Viktor,Ziggs,Alistar","Trundle,Volibear,KogMaw,Vayne,Shen"
NA1_5367059233,"Sion,Gwen,Hwei,Twitch,Milio","Kled,Briar,Zoe,Jinx,Nautilus"
NA1_5372892680,"Gangplank,Rammus,Veigar,Jhin,Thresh","Illaoi,Kindred,Lux,Jinx,Galio"
NA1_5367938377,"Gnar,Kayn,Syndra,Smolder,Shen","Malphite,Nunu,Tristana,Zyra,Sona"
NA1_5360754371,"Urgot,Amumu,Sylas,Senna,Poppy","Lux,Trundle,Irelia,Yunara,Alistar"
NA1_5373737494,"Kled,LeeSin,Rumble,Kaisa,Alistar","Tryndamere,Viego,Irelia,Corki,Taric"
NA1_5379706293,"Riven,Kayn,AurelionSol,Twitch,Morgana","Chogath,Evelynn,Taliyah,Jinx,Zilean"
NA1_5365818899,"Teemo,Leblanc,RekSai,Blitzcrank,Renekton","Twitch,Hwei,Azir,Pyke,Seraphine"
NA1_5380066945,"Tryndamere,Diana,Viktor,Ashe,Pyke","Yone,Khazix,Vladimir,Yasuo,Sona"
NA1_5379722514,"Irelia,Yorick,DrMundo,Poppy,Lillia,Smolder,Jax,Urgot","KSante,Kayn,Fiora,Diana,DrMundo,Zilean,Leona,Zed"
NA1_5353959224,"Karma,Yone,Lux,Akshan,Taric","Kassadin,Ryze,Ashe,Yuumi,Kayn"
NA1_5378847243,"Darius,Viego,Morgana,Ziggs,Braum","Chogath,Zac,Velkoz,Aphelios,Lux"
NA1_5368138308,"Nidalee,Sejuani,Karthus,Samira,Bard","Yuumi,Neeko,Ambessa,Illaoi,Mel"
NA1_5367960970,"Ambessa,MonkeyKing,Katarina,Ezreal,Thresh","KSante,Vi,Sylas,Corki,Morgana"
